Voltage_V,Intensity_mW,Fabry-Perot_T_mW
9.5,0.065643002337172,-0.36718
9.4905,0.0682032864756096,-0.36707
9.481,0.0512404207756742,-0.36701
9.4715,0.0672169130509684,-0.36702
9.462,0.0622930990397087,-0.36709
9.4525,0.0552404980608955,-0.36711
9.443,0.0596060561059629,-0.36722
9.4335,0.0576328312047516,-0.36727
9.424,0.0645042002570838,-0.36723
9.4145,0.0657627945885489,-0.36723
9.405,0.0536104640953221,-0.36723
9.3955,0.0690005434771862,-0.36716
9.386,0.0639584876974576,-0.36714
9.3765,0.0607862095763702,-0.36707
9.367,0.0673365688381986,-0.36704
9.3575,0.0508667903384865,-0.36705
9.348,0.058478088454339,-0.36706
9.3385,0.0661580021271938,-0.36715
9.329,0.0599399802911708,-0.36715
9.3195,0.0669165679426126,-0.36725
9.31,0.0610807015854857,-0.36725
9.3005,0.0546391720031162,-0.36724
9.291,0.0676429682638157,-0.36722
9.2815,0.0649316412578789,-0.36717
9.272,0.0660546955895784,-0.36712
9.2625,0.064606232142093,-0.36704
9.253,0.0639964366170931,-0.36707
9.2435,0.0611140920284385,-0.36715
9.234,0.0577739417613317,-0.36718
9.2245,0.050791008666453,-0.36726
9.215,0.059124396590343,-0.36728
9.2055,0.0486603029586175,-0.36729
9.196,0.0560167370346532,-0.36722
9.1865,0.0474583848386333,-0.36718
9.177,0.0497486050914823,-0.36715
9.1675,0.0619652858468749,-0.36706
9.158,0.058126377029541,-0.36707
9.1485,0.0569138979936289,-0.36712
9.139,0.0636107974252496,-0.3672
9.1295,0.04808178669134,-0.36719
9.12,0.0588670444767978,-0.36729
9.1105,0.0519787659316454,-0.36728
9.101,0.0618639448835329,-0.36729
9.0915,0.0667459968016829,-0.36731
9.082,0.0527397253614337,-0.36726
9.0725,0.0600876270086036,-0.36722
9.063,0.0537929195671197,-0.36715
9.0535,0.0500599713541896,-0.36713
9.044,0.0544672723661508,-0.36708
9.0345,0.0505524555093939,-0.36708
9.025,0.0465932077189746,-0.36716
9.0155,0.0602436965849274,-0.36719
9.006,0.0598982618236791,-0.36728
8.9965,0.0567287006270033,-0.36732
8.987,0.0561763302743179,-0.36731
8.9775,0.0576248969777595,-0.36725
8.968,0.0676546050422549,-0.36722
8.9585,0.0565054728618518,-0.36717
8.949,0.0530774516870211,-0.36713
8.9395,0.0506893201377487,-0.3671
8.93,0.0534020655333621,-0.36718
8.9205,0.0477225099404928,-0.36725
8.911,0.0557580142613329,-0.36729
8.9015,0.0531068404373886,-0.36733
8.892,0.0569131395214148,-0.36734
8.8825,0.0607706887066335,-0.36731
8.873,0.0497680391717858,-0.36726
8.8635,0.0459756648719374,-0.36724
8.854,0.0486244429056156,-0.36724
8.8445,0.0449968359324245,-0.36716
8.835,0.0554856544837908,-0.36715
8.8255,0.0495629083024917,-0.36716
8.816,0.0542757312339365,-0.36711
8.8065,0.0508092721807385,-0.3672
8.797,0.0585680821825925,-0.36723
8.7875,0.0470617425779879,-0.36728
8.778,0.0496343258163132,-0.36732
8.7685,0.0485294243531375,-0.36735
8.759,0.0513379647452302,-0.36729
8.7495,0.0548610388903861,-0.36724
8.74,0.0503885920995794,-0.36731
8.7305,0.062799726537304,-0.36718
8.721,0.0574858242172105,-0.36718
8.7115,0.0540055559441132,-0.36727
8.702,0.0619981867806216,-0.36732
8.6925,0.0493148424704464,-0.36737
8.683,0.0589527697019437,-0.36733
8.6735,0.0623971820823498,-0.36728
8.664,0.0531330387326764,-0.36727
8.6545,0.0591844221114423,-0.36717
8.645,0.0528355897796484,-0.36712
8.6355,0.0524961189390951,-0.36718
8.626,0.058587952498722,-0.36724
8.6165,0.0593187081269914,-0.36732
8.607,0.0542294077751845,-0.36734
8.5975,0.0440835761276621,-0.36736
8.588,0.0549970006763327,-0.36739
8.5785,0.052854060520068,-0.36728
8.569,0.0413370738728268,-0.36722
8.5595,0.0439133353175882,-0.36721
8.55,0.0451970172449386,-0.36712
8.5405,0.0507201684359239,-0.36714
8.531,0.0383661607476057,-0.36719
8.5215,0.0440252777447708,-0.36721
8.512,0.0427435648795693,-0.36729
8.5025,0.0426666882086765,-0.36732
8.493,0.0407928832805389,-0.36738
8.4835,0.0513419224719871,-0.36735
8.474,0.0489222267871888,-0.36736
8.4645,0.0450473491299953,-0.36735
8.455,0.049231996738116,-0.36729
8.4455,0.0432816815737091,-0.36726
8.436,0.0413156748831777,-0.36718
8.4265,0.052221309534386,-0.36715
8.417,0.0424141357348175,-0.3672
8.4075,0.0415499116051206,-0.36726
8.398,0.04004861415033,-0.36735
8.3885,0.0461218231362262,-0.36737
8.379,0.0331393970863084,-0.36736
8.3695,0.0402824917819645,-0.36736
8.36,0.0400001584116598,-0.36729
8.3505,0.0437727033419938,-0.36721
8.341,0.0345479642197876,-0.36723
8.3315,0.0366291017033678,-0.36733
8.322,0.0329103972365611,-0.36738
8.3125,0.0328514552065319,-0.36735
8.303,0.017686955500519,-0.36731
8.2935,0.01913968564193,-0.36728
8.284,0.0190260137830942,-0.36721
8.2745,0.0161078668674341,-0.36716
8.265,0.0169639507065507,-0.36717
8.2555,0.0158767326507608,-0.36724
8.246,0.0106826331190124,-0.36729
8.2365,0.0156691255043698,-0.36734
8.227,0.01455908063291,-0.36738
8.2175,0.0107724928747904,-0.36737
8.208,0.014070390311179,-0.36729
8.1985,0.00453129791216933,-0.36728
8.189,0.00187558247748695,-0.36718
8.1795,0.0022434958448543,-0.36717
8.17,-0.0068070285974158,-0.36715
8.1605,-0.00701290374812302,-0.36721
8.151,-0.00679750714274624,-0.36724
8.1415,-0.0147477987358503,-0.36728
8.132,-0.0176933646558829,-0.36731
8.1225,-0.0205376233507456,-0.36737
8.113,-0.0300903339290754,-0.36738
8.1035,-0.0273974258775035,-0.36735
8.094,-0.0295237219748426,-0.36735
8.0845,-0.0340998669524202,-0.36726
8.075,-0.0365008431163291,-0.36724
8.0655,-0.0434883077018374,-0.36719
8.056,-0.0622063860741059,-0.36715
8.0465,-0.065442409641172,-0.36715
8.037,-0.0693747655014634,-0.36719
8.0275,-0.0738408932159732,-0.36726
8.018,-0.0750216338591097,-0.36729
8.0085,-0.100331276160099,-0.36735
7.999,-0.0927940628284348,-0.36735
7.9895,-0.0923514570721817,-0.36726
7.98,-0.121025796102076,-0.36723
7.9705,-0.11450680766958,-0.36711
7.961,-0.120860857302889,-0.3671
7.9515,-0.134103579520138,-0.36712
7.942,-0.128617044693815,-0.36706
7.9325,-0.143401318794635,-0.36699
7.923,-0.183619188772626,-0.36711
7.9135,-0.19431289467241,-0.36701
7.904,-0.188454257620303,-0.36689
7.8945,-0.167572272507988,-0.36654
7.885,-0.187604258285294,-0.36614
7.8755,-0.20621498415702,-0.36613
7.866,-0.242292036424345,-0.36621
7.8565,-0.210357597742958,-0.36604
7.847,-0.219942656487593,-0.36606
7.8375,-0.237625635518986,-0.36601
7.828,-0.29124046379904,-0.36586
7.8185,-0.309171877763656,-0.36559
7.809,-0.321344758652436,-0.36506
7.7995,-0.319818915201598,-0.36423
7.79,-0.336169568374335,-0.36295
7.7805,-0.331699573141272,-0.36205
7.771,-0.389630929559093,-0.36068
7.7615,-0.348347273076689,-0.35921
7.752,-0.418867192728632,-0.35842
7.7425,-0.382688949922707,-0.35669
7.733,-0.418842189669899,-0.35609
7.7235,-0.47077480553061,-0.35666
7.714,-0.504956038574572,-0.35654
7.7045,-0.436398603392967,-0.3569
7.695,-0.569431095545887,-0.35642
7.6855,-0.564398014970257,-0.3553
7.676,-0.55185143242533,-0.35601
7.6665,-0.563399962528133,-0.35645
7.657,-0.591932314106963,-0.35696
7.6475,-0.596529453065626,-0.35626
7.638,-0.648091850602208,-0.35538
7.6285,-0.672795239161403,-0.35329
7.619,-0.755192644230486,-0.34646
7.6095,-0.769300013861899,-0.29085
7.6,-0.753279678859821,0.2605
7.5905,-0.723160679929874,0.3401
